age,sex_new,breed_new,likes_people_new,coat_new,size_new,month_found_new
8.58,0,1,0,1,1,04
5.92,1,1,0,0,1,01
6.58,0,1,0,2,1,08
8.75,0,0,0,0,1,03
4.5,0,0,0,1,1,04
5.75,0,0,0,0,1,03
7.58,0,0,0,0,1,04
11.67,0,1,0,1,1,04
6.5,0,0,0,0,1,04
9.58,0,0,0,0,1,05
4.5,0,0,0,0,1,03
4.58,1,0,0,0,2,04
4.67,0,0,0,0,2,05
4.42,1,0,0,0,1,03
4.75,1,0,0,0,0,09
5.58,0,0,0,0,1,05
4.75,0,0,0,0,0,03
12.92,1,1,0,0,1,12
10.92,1,0,0,0,1,12
11.92,1,0,0,0,1,12
8.5,1,0,0,0,1,03
12.92,1,1,0,0,0,03
12.92,1,1,0,0,1,12
12.92,0,0,0,3,1,12
14.92,1,0,0,0,1,12
12.92,0,0,0,3,1,12
7.83,0,1,0,1,2,03
13.92,1,1,0,0,1,12
6.58,0,0,0,0,1,04
6.75,0,0,0,0,2,05
9.33,1,1,0,0,2,02
6.58,0,0,0,0,1,04
5.0,0,0,0,0,1,04
11.92,0,1,0,0,2,04
10.92,0,0,0,0,0,02
7.58,0,1,0,0,1,04
11.92,1,0,0,3,1,12
6.42,0,1,0,0,1,04
4.92,1,1,0,0,0,03
10.92,0,0,0,3,0,06
4.67,0,0,0,3,1,04
6.17,1,0,0,0,1,05
8.67,0,0,0,0,0,05
11.58,0,1,0,1,2,04
5.58,1,1,0,2,2,04
7.17,1,0,0,0,1,04
13.92,1,1,0,3,2,01
10.67,1,1,0,1,2,04
5.58,1,1,0,0,0,04
6.58,1,0,0,3,1,04
3.67,0,0,0,0,0,04
4.75,0,1,0,0,1,03
6.67,1,1,0,1,2,03
8.17,1,1,0,0,1,01
4.83,0,0,0,0,1,01
10.08,0,1,0,0,1,12
12.75,0,1,0,2,2,03
9.92,1,0,0,0,0,12
10.67,0,1,0,2,2,03
14.75,1,1,0,0,2,03
4.42,1,0,0,0,0,03
7.75,0,1,0,0,2,02
5.25,1,1,0,0,0,01
8.08,1,0,0,3,0,01
4.08,1,0,0,1,1,03
4.0,0,0,0,0,1,02
6.25,1,1,0,0,1,02
4.17,1,0,0,3,1,01
5.75,0,0,0,0,1,02
6.5,0,0,0,1,0,12
8.83,0,0,0,2,1,01
9.83,0,1,0,0,1,01
4.42,0,1,0,0,1,12
4.83,1,1,0,0,0,01
4.08,0,0,0,1,2,01
10.83,0,1,0,3,1,01
11.92,0,1,0,3,1,01
4.33,0,0,0,3,1,01
4.5,1,0,0,0,1,12
8.17,0,1,0,1,1,12
6.5,0,1,0,1,2,01
9.42,0,1,0,2,1,01
4.5,0,0,0,0,0,01
5.83,0,1,0,3,1,01
11.0,0,1,0,1,0,11
7.25,0,1,0,0,1,09
4.5,0,1,0,0,0,12
11.83,1,0,0,1,1,05
5.58,1,0,0,0,1,11
5.0,0,0,0,0,2,11
6.17,1,0,0,0,2,07
8.0,0,1,0,1,2,12
4.92,0,0,0,2,1,09
7.0,0,1,0,0,1,09
14.92,1,1,0,3,2,06
7.92,0,1,0,0,0,05
4.83,1,0,0,0,1,10
4.75,1,0,0,0,1,10
5.0,1,0,0,0,1,10
4.92,1,1,0,3,1,09
4.92,1,1,0,3,1,10
9.0,1,1,0,0,0,11
5.67,0,0,0,3,2,03
4.5,0,0,0,0,1,11
5.92,0,1,0,3,1,10
4.58,0,0,0,0,1,10
4.92,0,1,0,3,1,10
4.92,0,0,0,0,1,10
14.92,0,1,0,0,2,11
9.92,1,0,0,3,1,05
5.92,1,0,0,1,1,02
7.92,0,0,0,0,2,04
8.92,1,0,0,1,2,05
5.92,1,1,0,0,0,10
8.17,0,1,0,0,1,09
9.25,1,0,0,3,2,09
7.17,0,0,0,3,0,09
5.08,1,1,0,1,1,09
6.17,0,0,0,3,1,09
11.08,1,0,0,3,1,10
6.33,1,1,0,1,1,08
4.83,1,0,0,0,1,09
7.25,1,1,0,0,2,09
5.25,0,1,0,3,1,11
4.67,0,0,0,0,1,06
4.58,1,0,0,0,1,09
4.58,0,0,0,0,1,09
6.25,0,0,0,3,1,08
6.83,0,1,0,2,1,07
5.5,0,0,0,0,1,09
5.75,1,1,0,1,1,07
5.25,0,1,0,1,1,08
9.0,0,1,0,0,1,06
4.75,0,0,0,3,0,05
6.25,0,1,0,1,2,08
6.25,0,0,0,3,1,08
6.33,0,1,0,2,1,08
6.25,0,0,0,0,1,08
4.58,1,1,0,0,0,08
7.25,0,0,0,0,1,08
16.33,1,0,0,1,1,12
12.42,0,1,0,0,2,06
9.5,0,1,0,0,2,07
5.83,0,1,0,0,1,06
10.33,1,1,0,2,1,03
5.33,0,0,0,3,1,08
4.58,0,0,0,0,0,06
4.83,0,0,0,0,2,07
5.83,1,1,0,0,2,08
12.33,0,1,0,1,2,08
7.92,1,0,0,0,1,05
4.92,0,1,0,0,2,05
9.42,0,0,0,0,1,08
4.92,1,0,0,0,1,06
7.5,0,1,0,0,1,06
5.42,0,0,0,1,0,03
5.42,0,0,0,0,0,11
6.42,1,1,0,1,0,05
5.5,1,0,0,1,1,10
9.42,1,0,0,0,2,10
5.5,0,1,0,0,1,05
5.5,1,0,0,0,1,03
5.42,0,1,0,0,0,05
6.5,1,0,0,0,1,05
5.5,0,1,0,0,1,08
7.92,0,0,0,3,1,02
9.58,1,0,0,0,0,10
11.58,1,0,0,1,1,01
7.0,1,1,0,0,2,04
5.42,0,1,0,3,0,05
6.5,1,1,0,0,0,05
5.58,1,0,0,0,2,05
7.5,1,1,0,2,1,05
12.58,0,0,0,0,1,05
8.58,0,1,0,0,1,05
6.58,1,0,0,0,2,04
11.58,0,1,0,0,1,05
8.58,0,1,0,1,1,04
10.83,1,1,0,1,2,02
6.58,0,1,0,0,1,04
5.58,1,1,0,3,0,04
10.75,0,1,0,0,1,04
6.67,1,1,0,0,1,03
17.67,0,1,0,2,0,04
5.42,0,1,0,0,1,05
6.58,1,1,0,0,1,04
9.58,0,0,0,0,1,04
10.58,0,1,0,0,1,05
6.58,1,1,0,1,1,04
11.67,0,1,0,0,2,10
7.67,0,1,0,0,1,03
7.67,1,1,0,0,2,03
8.67,0,1,0,0,2,09
10.17,0,1,0,0,2,09
8.67,0,1,0,0,1,03
8.67,0,1,0,0,2,03
5.17,0,1,0,3,1,03
8.67,1,1,0,0,1,03
12.67,1,1,0,0,2,09
9.67,1,1,0,0,1,03
9.67,0,1,0,0,1,03
6.25,1,1,0,0,1,06
11.67,0,1,0,0,2,09
5.08,0,0,0,0,1,01
6.25,0,1,0,0,2,10
5.75,1,1,0,3,0,12
9.75,1,1,0,0,1,02
6.08,0,1,0,3,1,03
9.83,0,1,0,0,0,03
5.5,0,0,0,0,1,03
14.25,0,1,0,0,0,02
6.67,0,1,0,3,1,03
8.83,0,1,0,0,0,11
15.0,0,0,0,0,1,12
9.5,0,1,0,0,2,01
6.83,1,0,0,0,1,12
6.0,0,0,0,0,1,02
5.67,0,1,0,0,1,10
6.83,0,0,0,0,2,01
5.83,0,0,0,0,1,02
13.83,0,1,0,1,2,01
7.83,0,1,0,1,1,10
5.92,1,1,0,0,1,12
5.58,0,1,0,0,1,11
9.5,1,1,0,1,1,11
6.92,1,1,0,1,0,05
8.08,0,1,0,2,1,11
14.08,0,0,0,0,1,02
7.92,0,1,0,0,1,12
7.5,0,0,0,1,1,11
7.0,1,1,0,0,2,12
10.42,0,0,0,0,1,11
13.17,0,1,0,0,1,09
6.0,1,1,0,1,1,12
8.67,0,0,0,0,1,05
9.25,0,0,0,1,1,11
6.58,1,0,0,1,1,11
11.67,0,0,0,1,2,10
8.0,0,0,0,0,2,12
14.5,0,1,0,2,1,11
7.17,0,1,0,0,0,11
9.17,0,1,0,1,2,08
5.67,0,0,0,0,1,09
7.92,1,0,0,0,0,08
7.33,1,1,0,0,0,10
11.33,0,1,0,0,1,09
5.5,0,1,0,1,1,08
6.33,1,0,0,0,1,10
8.08,0,0,0,2,1,09
11.08,1,0,0,0,1,03
5.33,0,1,0,0,0,10
12.33,0,1,0,0,1,10
8.08,0,0,0,1,1,08
16.08,0,1,0,1,1,07
14.33,1,1,0,0,1,10
5.83,1,1,0,0,1,05
14.92,0,0,0,0,1,07
12.33,0,1,0,1,2,06
5.75,0,1,0,0,1,08
6.92,0,1,0,0,1,07
7.67,0,1,0,0,1,08
6.33,1,1,0,0,1,05
8.5,1,1,0,0,1,07
6.25,1,1,0,0,1,05
6.08,0,0,0,0,1,07
6.67,0,1,0,0,0,08
7.83,1,1,0,0,1,05
5.83,0,1,0,0,2,07
6.58,1,0,0,1,1,05
14.42,0,0,0,1,2,06
10.58,0,0,0,1,1,05
6.25,0,0,0,1,1,06
5.67,0,0,0,0,1,05
6.92,0,0,0,0,1,07
6.58,0,1,0,0,1,05
13.42,1,1,0,0,1,01
6.25,0,1,0,0,0,06
7.42,1,0,0,0,1,06
6.08,0,1,0,0,1,06
6.17,0,0,0,0,2,06
8.5,0,1,0,1,1,06
8.42,0,0,0,0,1,03
5.83,0,1,0,0,1,06
6.0,1,0,0,0,1,03
15.42,0,1,0,2,1,06
6.42,0,1,0,0,1,11
7.5,1,0,0,0,0,06
