ID,name,age,sex,breed,date_found,adoptable_from,posted,color,coat,size,neutered,housebroken,likes_people,likes_children,get_along_males,get_along_females,get_along_cats,keep_in
1086,Speedy,1.25,male,Unknown Mix,2/14/19,2/14/19,11/21/19,gray and black,medium,small,yes,,yes,yes,yes,yes,,both flat and garden
4478,Charlotte,3.08,female,Unknown Mix,10/31/19,10/31/19,11/17/19,black and white,short,small,,,yes,,,,,both flat and garden
529,Chili,0.17,female,Staffordshire Terrier,10/1/19,10/1/19,11/24/19,golden,short,medium,yes,,yes,yes,yes,yes,,
1786,Mártélyi Bence,0.75,male,Bull Terrier Mix,11/17/19,11/25/19,11/24/19,striped,short,medium,,,yes,,yes,yes,,flat
1783,Dabasi Kócos,7,female,Fox Terrier Mix,11/18/19,11/18/19,11/19/19,black and white,wirehaired,small,no,yes,yes,no,yes,yes,no,both flat and garden
23752,,0.25,male,Unknown Mix,11/24/19,12/9/19,11/25/19,striped,short,medium,,,,,,,,
23736,Csöpi,9.33,female,German Shepherd Dog Mix,11/14/19,11/29/19,11/14/19,saddle back,medium,large,no,,,,,,,
23730,Suzi,13.08,female,German Shepherd Dog Mix,11/13/19,11/28/19,11/14/19,sable,medium,large,yes,,,,,,,
23731,,5,male,Unknown Mix,11/14/19,11/29/19,11/14/19,black and white,short,large,yes,,,,,,,
23735,,1,male,Unknown Mix,10/26/19,11/10/19,11/14/19,yellow-brown,short,small,no,,,,,,,
1775,Miskolci Kuba,1.25,male,"Beagle, Hound Mix",11/12/19,11/12/19,11/12/19,tricolor,short,medium,no,,yes,yes,no,yes,no,both flat and garden
3521,Panna,7.58,female,Unknown Mix,4/17/13,4/17/13,11/13/19,black,wirehaired,medium,yes,,,,,,,garden
1037,Lõrinci Balu,10.75,male,Greyhound Mix,11/6/19,11/6/19,11/14/19,spotty,short,medium,yes,yes,yes,,,,,flat
23733,,3,male,Unknown Mix,10/26/19,11/10/19,11/14/19,yellow-brown,short,small,no,,,,,,,
3519,Alfi,8.33,male,Unknown Mix,8/25/12,8/25/12,11/13/19,black,wirehaired,large,yes,,,,,,,garden
23739,Taxi,8,female,Unknown Mix,11/16/19,12/1/19,11/16/19,yellow-brown,short,large,no,,,,,,,
23738,Bambi,5.5,female,Unknown Mix,11/16/19,12/1/19,11/16/19,striped,short,large,no,,,,,,,
1038,Pécsi Kajla,1,male,Greyhound Mix,9/9/19,11/10/19,11/14/19,black,short,medium,yes,,,,,,,
3518,Benji,9.67,male,Terrier Mix,4/17/13,4/17/13,11/13/19,yellow-brown,wirehaired,medium,,,,,,,,garden
3516,Liza,1.08,female,Unknown Mix,11/11/19,12/14/19,11/13/19,black,short,medium,,,yes,yes,yes,,,garden
3520,Sajti,12.67,male,Unknown Mix,3/1/09,3/1/09,11/13/19,white,long,large,,,,,,,,
