principal_component_1,principal_component_2,class
-5.526340946,-2.848022759,0
-6.564024037,-3.136758875,0
-6.641941036,-3.146139265,0
-6.498308968,-5.1922309,0
-0.308233658,-1.398033399,2
-2.882238176,-6.255980749,0
-6.501052635,-5.19031732,0
-5.52359728,-2.849936339,0
-6.650726267,-3.160660753,0
1.195448673,-0.981700053,2
-6.060071022,-4.032388587,0
0.296696231,-1.231574352,2
-6.337577524,-6.183347578,0
-6.616923409,-4.176470769,0
0.964973773,6.20208661,1
1.805258445,5.397374519,1
2.055435785,4.428246139,1
-5.180671477,-3.792627623,0
0.656964899,4.04389388,1
-7.276169087,3.929253526,0
-1.618545957,3.416279423,1
-1.755108124,3.388930322,1
-0.380245027,3.756718336,1
-6.403845175,-3.07783158,0
-5.964578893,-4.007865071,0
2.759706204,2.560040823,1
-4.483170523,-2.563113803,0
-0.357839368,-2.448310443,0
-2.378461494,3.219193873,1
2.237630144,4.476671533,1
2.029007255,-2.828713265,2
-6.079044497,-4.027014419,0
-5.040633506,-6.852432508,0
-6.929951703,1.948504538,0
-4.114931324,-3.49795834,0
-5.905205824,-7.104050565,0
-5.55337434,-4.92993188,0
3.631221149,-1.351591734,2
-5.219785285,4.497085978,0
-8.632060789,2.52859879,0
-1.254929825,-5.819402864,0
-2.96363306,-4.205699706,0
-5.445243911,-6.963974605,0
-5.533841457,-6.997828627,0
-5.105618594,-6.883622134,0
-7.089696782,-1.192449011,0
4.662694183,-0.027659059,2
-5.451288064,-5.93901727,0
-2.815541995,-4.165742697,0
-6.085340796,-0.92773471,0
-5.473005205,-5.931729521,0
-7.095738347,-1.208884079,0
-1.928522554,-6.008074039,0
-3.552330552,-5.417011744,0
-5.470261539,-5.933643101,0
-0.405010507,2.712727465,1
-2.666415212,4.174931517,1
-1.311001343,5.58792553,1
-4.012843983,4.827142926,0
-5.448544397,-5.94093085,0
-3.667908147,-2.32359454,0
-4.288945315,1.643188036,0
-7.578397448,3.846804289,0
-5.451288064,-5.93901727,0
1.334379322,-0.942838236,2
-5.047229176,4.556755458,0
-2.206759037,-6.072371379,0
-5.182687243,-6.904868248,0
-5.935708197,-7.111284304,0
-0.687100059,4.721517855,1
-0.847575753,-5.709774347,0
-2.923113016,-4.19422255,0
-5.484180321,0.289121318,0
-7.528835359,1.784580709,0
2.696733736,-4.720587389,2
0.713817662,-5.268408372,2
-4.692222957,-6.757558549,0
1.721846731,-4.998771719,2
0.373587482,-0.17371056,2
-7.869020084,3.766750816,0
-4.681301511,-0.528507955,0
-1.902947042,1.274650938,0
-4.760207462,4.635574285,0
-1.657052315,5.489550338,1
-7.383872051,1.824863646,0
-7.943345066,3.743591123,0
-7.453782476,-1.306413802,0
-8.178143029,3.693632085,0
-3.842480022,-5.495504644,0
-5.849381151,-7.07395613,0
-2.264677828,1.171084764,0
-6.614611875,-0.026051894,0
-7.860234853,3.781272304,0
-4.324710594,4.755937774,0
-7.375812132,3.912146935,0
-8.005029669,2.689357741,0
-6.89889251,0.934608102,0
-0.92061287,0.493460789,1
-6.728522816,-0.067752662,0
0.66647803,0.944261163,1
-6.485194357,3.112442641,0
-1.761450125,2.348216853,1
